Channel,Elevation,Azimuth
1,-4.43070058,-1.075909345
2,-3.500272004,-9.71306778
3,-2.54823942,-1.089488685
4,-1.645019452,-9.709177249
5,-0.748742608,-1.103776484
6,0.12920992,-9.716998357
7,0.992552154,-1.118190147
8,1.846800112,-9.733252833
9,2.640679567,2.692378861
10,3.461486498,11.3311281
11,4.293799326,2.683798183
12,5.092526983,11.3414179
13,5.908636969,2.678227884
14,6.687539148,11.36124364
15,7.48774627,2.675551286
16,8.248775296,11.39049176
17,9.076985132,-1.190423879
18,9.838375723,-9.918608199
19,10.59152018,-1.205525002
20,11.33910396,-9.976507394
21,12.07805231,-1.221071601
22,12.81299597,-10.04153818
23,13.53925565,-1.237135077
24,14.26249607,-10.11374257
25,15.1113837,2.496032197
26,15.82562587,11.47381979
27,16.52778989,2.507271674
28,17.23046308,11.5571618
29,17.92664435,2.520626156
30,18.61808487,11.64916264
31,19.31014248,2.53605918
32,19.99050556,11.74981178
33,20.71365449,-1.329212174
34,21.38383596,-10.59664472
35,22.07211824,-1.349371671
36,22.73198747,-10.7135115
37,23.42065969,-1.370300438
38,24.0699123,-10.8379566
39,24.76068099,-1.392023174
40,25.39891787,-10.97013834
41,26.06036599,2.644119136
42,26.7342556,12.39116336
43,27.38684417,2.672054604
44,28.04757164,12.54625232
45,28.70793353,2.702215683
46,29.35493141,12.71120938
47,30.02439206,2.734684653
48,30.65704462,12.8864404
49,31.36997281,-1.513633364
50,32.04673103,-11.76990568
51,32.67908352,-1.540843922
52,33.34105572,-11.95525263
53,33.98525473,-1.569145141
54,34.6318059,-12.1509064
55,35.28890657,-1.598607805
56,35.9193752,-12.35749334
57,36.55684271,2.935804204
58,37.23291572,13.96002472
59,37.85638822,2.98490228
60,38.51337468,14.21126251
61,39.15446038,3.037441702
62,39.79145356,14.47804807
63,40.45138962,3.093684951
64,41.06739471,14.76155709
65,41.78202703,-1.766483059
66,42.47066991,-13.61578386
67,43.07798426,-1.804947337
68,43.7453175,-13.90833609
69,44.37382533,-1.845357894
70,45.01872602,-14.21918905
71,45.66988156,-1.887880469
72,46.29110525,-14.54995653
73,46.93031741,3.442232655
74,47.64591734,16.55398958
75,48.22723807,3.528424635
76,48.91294405,16.97726312
77,49.52529894,3.621404989
78,50.17907215,17.43143497
79,50.82483575,3.721893969
80,51.44442108,17.91975574
81,52.16513155,-2.139550201
82,52.84367455,-16.65208595
83,53.46964786,-2.199613954
84,54.11403341,-17.15729124
85,54.77691963,-2.263771287
86,55.38480725,-17.70324269
87,56.08744001,-2.33251635
88,56.65624596,-18.2951064
89,57.35813586,4.371572976
90,58.11005594,21.24102563
91,58.67531241,4.54060462
92,59.37296238,22.05996719
93,59.99750323,4.727221604
94,60.63575328,22.96079977
95,61.32558317,4.934229103
96,61.89837319,23.95619095
97,62.71259545,-2.7703891
98,63.43501469,-22.52109069
99,64.05871771,-2.884330945
100,64.71691662,-23.60677764
101,65.41482041,-3.010860402
102,66.00093066,-24.82582478
103,66.78254105,-3.152484029
104,67.28662222,-26.20398136
105,68.09560892,6.431592976
106,69.12016034,32.51541429
107,69.48603889,6.874639184
108,70.35638155,34.77896095
109,70.89276986,7.394151622
110,71.57581555,37.40262789
111,72.31773888,8.011389471
112,72.76991915,40.46458828
113,73.87760685,-4.247621383
114,75.22200785,-41.40492055
115,75.3598102,-4.603340212
116,76.40001128,-45.72193115
117,76.86954382,-5.044677435
118,77.50845696,-50.94643093
119,78.40907009,-5.608455422
120,78.51388776,-57.27909887
121,79.62264353,26.63341482
122,81.04258225,31.42329373
123,82.40472354,38.14896644
124,83.64292513,47.90469446
125,85.3579221,-6.320073689
126,87.02208738,-0.859896329
127,88.6408809,18.18700383
128,88.99090767,117.3035311
